such as,様に
Network error. Could not reach gateway server.,ネットワークエラーです。サーバにアクセスできませんでした。
Could not retrive response body. Please contact us.,返答がありませんでした。窓口にご連絡ください
No corresponding record ! No corresponding reception number.,該当するレコードがありません。対応するレセプション番号がありません。
Uncompleted ! Designated ID has not been entered. The call was hung up in the middle.,完了していません！該当するIDが入力されていません。コールは途中で途切れました。
Completed (Unsettled) ! The call was hung up after the entry of designated ID and before settlement.,完了！(未確定)コールは該当するIDの入力後、確定する前に途切れました。
Completed (Settled) ! The call was hung up after settlement.,完了！(未確定)コールは確定後に途切れました。
No corresponding reception number.,リクエストが受付失敗しました。返答番号を受け取れませんでした
Requested failure ! Could not retrive response code.,リクエストが受付失敗しました。
Customer redirected to Paygent gateway and make authorized,顧客情報がペイジェントへ転送され、認証されます
Request is modified by someone.,他の誰かによってリクエストが変更されました
-- Please Select --,選択してください
Pending Payment,支払いが延期されました
One Time,一時
Use Bonus,ボーナスを使う
Except Bonus,ボーナス以外
Yes,はい
No,いいえ
Fraud system detects a fraud,Fraud system detects a fraud
Customer confirm with paygent,ペイジェントによる顧客確認
System automatically call to Paygent API and make authorized,システムが自動的にペイジェント APIを呼び認証する
Network Error.,ネットワークエラー
Connect to IVR,IVRに接続
"Register successful , IVR Transaction Id : ",識別番号 IVR ID
Get Update,更新する
IVR Transaction Id : ,IVR ID
Order Information,注文情報
Shipping Address,配送先
Shipping Method,配送方法
No shipping information available,配送情報がありません。
Billing Address,請求先住所
Payment Method,支払方法
Items Ordered,注文された商品
SKU,SKU
Price,価格
Qty,数量
Subtotal,小計
Gift Message,ギフトメッセージ
Close,閉じる
From,より
To,へ
Gift Message for This Order,この注文のギフトメッセージ
Confirm,確定
-- Please Select ---,選択してください
Save Payment Fee,支払代金保存
Edit '%1',%1'編集
New Payment Fee,新規支払方法
Payment Fee Information,支払代金詳細
Fixed Amount (Including Tax),確定代金(税込)
The payment fee will be applied on your payment method when it is activated.,それがアクティベートされた場合の支払手数料はお支払い方法に適用されます
Surcharge Fee,サーチャージ代金
Surcharge,サーチャージ
Could not load address from customer,顧客の住所が読み込めません。
"""Unable to recollect total , detail :"" .",合計を計算できません。詳細:
The brand has been deleted.,ブランドは削除されました。
We can\'t find a brand to delete.,削除するブランドが見つかりません。
This payment fee no longer exists.,この支払は現在見つかりません。
Edit Payment Fee,支払代金の編集
Method,方法
Manage Payment Fee,支払代金の管理
A total of %1 record(s) have been disabled.,合計 %1 のレコードが外されました。
A total of %1 record(s) have been enabled.,合計 %1 のレコードが加えられました。
Your payment fee saved.,支払代金は保存されました。
Something went wrong while saving the post.,投稿を保存中に問題が発生しました。
A total of %1 record(s) have been found.,合計 %1 のレコードが見つかりました。
Enable,有効化
Disable,無効化
Edit,編集
(Connect IVR),(IVRへ接続)
Surcharge Fee: ,サーチャージ代金
No Payment Methods,支払方法無し
Loading...,読み込み中…
CVS Payment Importing,CVS支払インポート中
Add New CSV File,新規CSVファイルの追加
Delete,削除
Edit  '%1',%1'を編集
New CSV file,新規CSVファイル
Importing Form,フォームインポート中
Upload Csv file,CSVファイルアップロード中
Importing Information,情報をインポート中
The importing has been deleted.,インポートが削除されました。
We can\'t find a importing to delete.,削除するインポートが見つかりません。
This importing no longer exists.,このインポートは現在見つかりません。
Edit Importing,インポートを編集
New Importing,新規インポート
Importing,インポート中
A total of %1 record(s) have been deleted.,合計 %1 のレコードが削除されました。
File cannot be saved to path: $1,パス:$1にファイルが保存できません。
The importing has been saved.,インポートは保存されました。
Something went wrong while saving the importing.,インポート中に問題が発生しました。
"Update order success , Import from Welnet",オーダーのアップデート完了、Welnetからインポート
 Update orders success: %s, オーダーのアップデート成功: %s
 Update orders fail: %s, オーダーのアップデート失敗: %s
Orders not found,オーダーが見つかりません。
File uploaded,ファイルアップロード完了
Imported,インポートされた
Enabled,有効化
Disabled,無効化
Cronjob Scheduler,cronジョブスケジューラ
This user no longer exists.,このユーザーは現在見つかりません。
You saved the user.,ユーザーを保存しました。
"Sorry, but this password has already been used. Please create another.",申し訳ありません、このパスワードは既に使用されています。別のパスワードを設定してください。
Password Help,パスワードヘルプ
This function is not available. Please contact administrator,この機能はお使いになれません、管理者(アドミン)に連絡してください。
Back to Sign in,サインインに戻る
Reset a Password,パスワードリセット
Disallowed file type.,許可されいないファイルタイプ
Fraud Risk Score,不正リスクスコア
Custom Rules,カスタムルール
User Manual,ユーザーマニュアル
Get Support,サポートを受ける
Save & Close,保存と終了
Save Rule,ルール保存
General Information,概要情報
Is Active,有効
Set status to,ステータスセット
Accept,承諾
Review,レビュー
Reject,否認
Rules,ルール
ID,ID
Duplicate,重複
Export,エクスポート
Are you sure?,よろしいですか？
Advanced Product Feeds,Advanced Product Feeds
Item was successfully deleted,アイテムは正常に削除されました
This item not exists.,アイテムは存在しません
New Rule,新規ルール
Item was successfully saved,アイテムは正常に保存されました
Unable to find item to save,保存するアイテムが見つかりません
Fraud Score,不正スコア
Fraud Risk Score Configuration,不正スコアコンフィグレーション
You saved the score.,スコアを保存しました
Billing: Payment Method,請求:　支払方法
Billing: ,請求:
Conditions Combination,条件のコンビネーション
Group,グループ
Lifetime Sales,生涯販売
Number of Orders,オーダー数
Is subscriber of newsletter,はニュースレターの購読者です
Number of reviews,レビューの数
Discount Amount,割引額
Grand Total,総合計
Shipping Amount,配送数
Tax Amount,税額
Shipping: Shipping Method,配送:　配送方法
Shipping: ,配送:
Shipping and billing addresses,配送と請求先住所
The shipping and billing countries are identical,配送と請求先の国が一致
The shipping and billing countries are different,配送と請求先の国が不一致
The shipping and billing states are identical,配送と請求先の県が一致
The shipping and billing states are different,配送と請求先の県が不一致
The shipping and billing cities are identical,配送と請求先の市が一致
The shipping and billing cities are different,配送と請求先の市が不一致
The shipping and billing postcodes are identical,配送と請求先の郵便番号が一致
The shipping and billing postcodes are different,配送と請求先の郵便番号が不一致
Customer History,顧客履歴
IP History,IP履歴
Customer Location,顧客所在地
Can't determine country for IP: %1,IP: %1の国を確認できません
Order placed from %1 and billing address is in %2,%1からのオーダーで請求先住所は%2
"Order placed from %1, but billing address is in %2",%1からのオーダーだが請求先住所は%2
Billing country is not set,請求先の国が設定されていません
Order placed from %1 and shipping address is in %2,%1からのオーダーで配送先住所は%2
"Order placed from %1, but shipping address is in %2",%1からのオーダーだが配送先住所は%2
Shipping country is not set,配送先の国が設定されていません
Distance,距離
Can't determine customer coordinates,顧客の所在地が確認できません
Can't determine shipping address coordinates,配送先の所在地が確認できません
Distance between shipping address and customer location near <b>%1</b> km,配送先住所と顧客の所在地の距離約 <b>%1</b> km
Can't determine billing address coordinates,請求先住所の所在地が確認できません
Distance between billing address and customer location near <b>%1</b> km,請求先住所と顧客の所在地の距離約 <b>%1</b> km
Order amount,注文数
Order total within the normal range of orders for this store,この店舗の受注の正常範囲内の注文合計
Order total outside the normal range of orders for this store,この店舗の受注の正常範囲外のご注文合計
Customer Email,顧客のEmailアドレス
Email (%1) contains firstname,Email (%1) は名を含んでいます
Email (%1) contains lastname,Email (%1) は姓を含んでいます
Email (%1) contains blacklist keyword,Email (%1) はブラックリストのキーワードを含んでいます
The customer's email (%1) not match any risky patterns,顧客のEmail (%1) はどのリスクパターンにも一致しません
Phone number,電話番号
Phone (%1) contains 4 repeating digits,電話番号 (%1) は4つの連続した数字を含んでいます
Phone (%1) contains 3 repeating digits,電話番号 (%1) は3つの連続した数字を含んでいます
Phone (%1) contains 3 repeating digits sequence,電話番号 (%1) は3つの連続した数字のパターンを含んでいます
Phone (%1) contains 2 repeating digits sequence,電話番号 (%1) は2つの連続した数字のパターンを含んでいます
The customer's phone number (%1) not match any risky patterns,顧客の電話番号 (%1) はどのリスクパターンにも一致しません
Fraud Checklist,不正チェックリスト
Statuses,ステータス
Checklist,チェックリスト
Importance,重要度
Rule,ルール
"1 - not important indicator, 10 - very important indicator",1－重要なインディケーターではない、10－非常に重要なインディケーター
Fraud Score:,不正スコア：
Configure,編集：
Admin Logs,管理者ログ：
Manage Admin Logs,管理者ログの管理：
An error has occurred.,エラーが起きました
This admin log no longer exists.,この管理者ログは現在見つかりません
View Detail Admin Log,アドミンログの詳細を見る
Failure,失敗
Success,成功
View detail,詳細を見る
Lead Time Settings,リードタイム設定
Render Lead Time,リードタイムをレンダリング
Import Stock ,在庫のインポート
%s has been disabled,%は無効化されました
Could not connect to SFTP server,SFTPサーバーに接続できませんでした
Location :%s in sFTP does not exist,ロケーション：%sはSFTPに存在しません
CSV files not found.,CSVファイルが見つかりません
Content of file %s is null,%sファイルのコンテンツはnullです
The file %s does not exist,ファイル%sは存在しません
 ********* Import data from file %s ***********, ********* %sからの重要な情報 ***********
Update success: %s %s %s %s %s,アップデート成功： %s %s %s %s %s
Not complete update : %s %s %s %s %s (%s),アップデート未完了 : %s %s %s %s %s (%s)
Warehouse,倉庫
Shipping method/Delivery type,配送方法/配送タイプ
Prefecture,県
Lead time (day),リードタイム(日)
Imported Payment CSV FILE,インポートされた支払CSVファイル
Check Data,データ確認
Collected  '%1',%1'が集められました
Payment Csv file Importing Form,支払CSVファイルインポートフォーム
Select payment from,支払方法を選択
Select File to Import,インポートするファイルを選択
Import,インポート
Collected Information,収集された情報
Payment Status Information,支払状況情報
Returned Information,返品情報
Refund Information,返金情報
Collected Importing,収集されたインポート
Import csv file success!,CSVファイルインポート成功！
The file was not uploaded.,ファイルはアップロードされませんでした
Transaction id %1 doesn't exist,Transaction id %1 は存在しません
Amount and date of money Received,入金額と日付
Amount and date of money returned,返金額と日付
"File is valid! To start import process press ""Import"" button","ファイルは有効です！インポートを開始するには""インポート""のボタンを押してください"
Validate ok!,確認OK！
"Sorry, but the data is invalid or the file is not uploaded.",申し訳ありません、データが無効か、ファイルはアップロードされませんでした
column %1 empty,コラム%1は空です
Status code is only 40 or 60,ステータスコードは40か60のみです
Transaction Id must be number,Transaction Id は数字でなければなりません
Amount must be number,数量は数字でなければなりません
Payment date must be date-time(m/dd/yyyy) format,支払日は日-時間(m/dd/yyyy)のフォーマットでなければなりません
Error at row %1: ,行 %1でエラー: 
Transaction ID %1 is a duplicate,Transaction ID %1 は重複しています
Amount of money Received,受け取り金額
Date Nestle Received Money,Nestleに入金された日付
Amount of money returned,返金された金額
Date Nestle Returned Money,Nestleが返金した日付
Wellnet,Wellnet
COD Yamato,代金引換　ヤマト
COD Askul,代金引換　アスクル
Paygent (Nicos JCB),Paygent　（ニコス　JCB）
Manually,マニュアル
Auto Import,オート入力
Not applicable,該当しません
Authorized,許可されています
Suspected fraud,不正の疑い
Payment collected,支払回収
Nestle payment received,Nestleの支払いを受け付けました
created,作成された
exported,エクスポートされた
shipped out,配送された
delivery completed,配送完了
Validation Results,審査の結果
Collected amount,回収された金額
Collected date,回収された日付
Reconciliation,調整
History change log,ログ変更履歴
User Id,ユーザーID
Change Date,日付変更
Time,時間
Transaction ID,Transaction ID
Changes Made,変更された値
Export change log,エクスポート変更ログ
Payment Status,支払状況情報
Username,ユーザーの名前
Order Id,オーダーID
Previous Payment Status,以前の支払状況
Return amount,戻り量
Return date,返却日
Refund amount,払い戻し金額
Refund date,払い戻し日
Shipments created,作成した出荷
Automatically created a shipment for all of item have delivery type are delivery_type of ' . . ' WareHouse ,自動的にアイテムのすべてのための出荷を作成した配信タイプは 'のdelivery_typeありました  「倉庫
Cannot load options for attribute %1,属性%1のオプションを読み込むことができません
Product doesn`t set case display,製品のdoesnの `t設定した場合の表示
Rule Name,ルール名
Description,説明
From time,時から
To time,時間に
Priority,優先
SPOT/Subscription,SPOT /サブスクリプション
SPOT only,SPOTのみ
Subscription only,サブスクリプションのみ
SPOT and subscription,SPOTおよびサブスクリプション
Apply only to subscription,唯一のサブスクリプションに適用されます
Apply only to frequency,周波数のみに適用されます
Subscription deliveries,サブスクリプションの配達
Delivery N,配達N
Wrong rule specified.,間違ったルールが指定されています
You saved the rule.,ルールを保存しました
Something went wrong while saving the rule data. Please review the error log.,ルールデータの保存中に問題が発生しましたエラーログを確認してください
Every N delivery,すべてのNの配信
On N delivery,Nの配信に
All deliveries,すべての配送
SAP Condition Type,SAP条件タイプ
Normal Name,お届け先名
Example: Yamada,例：山田
Example: Taro,例：太郎
Kana Name,カナ名
Example: Katakana Yamada,例：カタカナ山田
Example: Katakana Taro,例：カタカナ太郎
Example: home address,例：自宅の住所
Example: 100-0001,例：100-0001
Example: Chiyoda-ku,例：東京都千代田区
Example: Chiyoda,例：千代田区
Example: 0782307000,例: 0782307000
One-page checkout is turned off.,一ページのチェックアウトがオフになっています
Guest checkout is disabled.,お客様のチェックアウトが無効になっています
Multi Checkout,マルチアウト
Checkout,チェックアウト
Could not convert from quote address to order address,オーダーアドレスに引用アドレスから変換できませんでした
Hanpukai had been removed from shopping cart,Hanpukaiはショッピングカートから削除されていました
The product does not exist.,製品は存在しません
Could not place order,注文することができませんでした
Cart contains virtual product(s) only. Shipping address is not applicable.,カートは仮想製品（複数可）が含まれています配送先住所は適用されません
Shipping method is not applicable for empty cart,発送方法は空のカートには適用されません
Could not load cart item,カートのアイテムをロードできませんでした
Customer info not found,お客様の情報が見つかりません
Something went wrong while save Delivery Date.,納期を保存中に問題が発生しました
Could not save quote address data,引用アドレスデータを保存できませんでした
Shipping address is not set,配送先住所が設定されていません
"Unable to save shipping information. Please, check input data.",出荷情報を保存することができません 入力データを確認してください
"""Unable to load active quote in combine cart items , detail :"" .","「詳細をカートアイテムを組み合わせることでアクティブな引用を読み込むことができません： """
"""Could not load product from slip parent cart item , detail :"" .","「スリップ親カートアイテムディテールから製品をロードできませんでした： """
"""Could not load parent item from split parent item id , detail :"" .","""スプリット親アイテムIDから詳細を親項目をロードできませんでした："""
"""Unable to remove unnessary quote item , detail :"" .","「unnessary引用項目詳細を削除することができません： """
Proceed to Checkout,ご注文手続きへ進む
Proceed to Checkout multi,チェックアウトマルチに進みます
Thank you for your order,注文いただきありがとうございます
Your order # is: <span>%1</span>.,ご注文番号は次のとおりです<span>%1</span>
"※ The details of the order contents, please check from my page.","※ご注文内容の詳細は、上記注文番号をクリックすることでご確認いただけます。"
※ We will send an order confirmation email to Thank your registered e-mail address.,※ご登録いただきましたメールアドレスに注文完了メールを送信いたします。
Back To TOP,トップに戻る
Campaign Id is invalid. Campaign Id must have 7 digits.,キャンペーンIDが無効ですキャンペーンIDは7桁の数字を持っている必要があります
Campaign Id is invalid. Campaign ID must be alphanumeric character,キャンペーンIDが無効ですキャンペーンIDは英数字でなければなりません
Apply Coupon Code,クーポンコードを適用します
Remove Coupon Code,クーポンコードを削除します
Remove,削除します
Applicable,適用されます
Only Piece,唯一のワンピース
Only Case,唯一のケース
Piece And Case,ピースとケース
FERT,FERT
HALB (Z100),HALB（Z100）
ZSIM,ZSIM
UNBW,UNBW
DIEN,DIEN
CS,ケース
EA,個
CS (Case),CS（ケース）
EA (Each),EA（各）
None,なし
Front-end,フロントエンド
Back-end,後端
All,すべて
Edit Address Confirmation,編集アドレスの確認
New Address Confirmation,新しいアドレスの確認
Save category,カテゴリを保存
Edit category '%1',カテゴリの編集 '%1'
New category,新しいカテゴリ
Category Information,カテゴリ情報
Category Name,カテゴリー名
Category Code,カテゴリコード
Copy Customer,コピーカスタマー
Customer Enquiry,お客様のお問い合わせ
Save Enquiry,保存お問い合わせ
Edit Enquiry Header '%1',編集問い合わせヘッダー '%1'
New Enquiry Header,新規お問い合わせヘッダー
Enquiry Information,問い合わせ情報
Search Order Number,注文番号を検索
Hide Search Order Number,検索注文番号を非表示にします
Search Customer ID,検索顧客ID
Hide Search Customer ID,隠す検索顧客ID
Customer ID,顧客ID
Category,カテゴリー
Title,タイトル
Text,テキスト
Please select customer id by clicking on a row,行をクリックすることで顧客IDを選択してください
Email,Eメール
First Name,ファーストネーム
Last Name,苗字
First Name Kana,ファーストネームカナ
Last Name Kana,姓カナ
Website,ウェブサイト
Gender,性別
Male,男性
Female,女性
Not Specified,指定されていない
Please select order number by clicking on a row,行をクリックすることで注文番号を選択してください
Purchased Date,購入日
Bill-to Name,請求先の名前
Ship-to Name,船舶の名前
Grand Total (Purchased),総合計（購入）
Invalid login or password.,無効なログインまたはパスワード
A login and a password are required.,ログインとパスワードが必要です
You deleted the address.,お届け先情報を削除しました。
We can\'t delete the address right now., 'tは今のアドレスを削除する\ことができます
We can\'t delete the address exist in subcription right now., 'tは今subcription内に存在するアドレスを削除\することができます
You saved the address.,お届け先情報を登録しました。
We can\'t save the address., 'tはアドレスを保存する\ことができます
category deleted,カテゴリー削除
category does not exist,カテゴリは存在しません
Manage Category,カテゴリを管理します
This Category not exists.,このカテゴリは存在しません
Edit Category,カテゴリの編集
Categories,カテゴリー
Manage Categories,カテゴリの管理
A total of %1 record(s),%1のレコードの合計（秒）
Category saved,カテゴリー保存
Something went wrong while saving the category,カテゴリを保存中に何かが間違っていました
Browse customers from ConsumerDB,ConsumerDBから顧客を閲覧
Consumer API Logs,消費者APIログ
Manage Consumer API Logs,消費者APIのログを管理します
This consumer API log no longer exists.,この消費者のAPIのログが存在しません
View Detail API Log,ビュー詳細APIログ
Enquiry deleted,お問い合わせは削除します
Enquiry does not exist,お問い合わせは存在しません
Enquiry,問い合わせ
Manage Enquiry,お問い合わせを管理します
This enquiry does not exist.,この問い合わせは存在しません
Edit Enquiry,編集問い合わせ
New Enquiry,新規お問い合わせ
Order Number does not exist,注文番号は存在しません
Customer Id does not exist,顧客IDは存在しません
Enquiry saved,お問い合わせは保存されました
Something went wrong while saving the enquiry,お問い合わせの保存中に何かが間違っていました
This Enquiry Header no longer exists.,このお問い合わせヘッダーは存在しません
View Detail Enquiry Header,詳細を表示お問い合わせヘッダー
View Detail Enquiry,ビュー詳細お問い合わせ
Something went wrong while editing the customer.,顧客の編集中に何かが間違っていました
Copy Customer: ,お客様をコピーします
New Customer,新規のお客様
Created ambassador customer: ,作成された大使のお客様：
Customer sub-profile set success.,カスタマー・サブプロファイルは成功を設定します
Created customer on consumerDB: ,consumerDBの顧客を作成しました：
Create ambassador customer error: ,大使の顧客のエラーを作成します
Create customer error: ,顧客のエラーを作成します
Updated ambassador customer: ,更新された大使のお客様：
Updated customer on consumer DB: ,消費者のDBに更新顧客：
Update ambassador customer error: ,大使の顧客のエラーを更新します
Update customer error: ,顧客のエラーを更新します
Call API error with message: ,メッセージと呼び出しAPIエラー：
Something went wrong while saving the customer.,顧客の保存中に問題が発生しました
You saved the customer.,顧客を保存しました
顧客コード :,顧客コード：
The consumer api log save success.,消費者向けAPIのログは成功を保存します
The consumer api log save fail.,消費者向けAPIログが失敗して保存します
Please select Address Type,アドレスの種類を選択してください
message,メッセージ
Login to KSS failed!,KSSへのログインに失敗しました！
Please enter a password with at least %1 characters.,少なくとも%1文字以内でパスワードを入力してください
The password can\'t begin or end with a space.,パスワードは 'tが始まるまたはスペースで終わる\ことができます
We can\'t delete the address exist in subscription profile. , 'tはサブスクリプション・プロファイル内に存在するアドレスを削除\することができます
"A customer already exist with same business code. For Itochu or Mitsubishi, the business code must be unique",顧客がすでに同じビジネスコードが存在します伊藤忠や三菱のためにビジネスコードは一意である必要があります
This customer already exist with different billing address and name,この顧客はすでに別の請求先住所と名前で存在します
Are you sure you wan\'t to delete record?,レコードを削除するためにトンを\ 'WANか？
Create/Edit Customer,/編集お客様の作成
Enquiry for this customer,この顧客の問い合わせ
Add New Enquiry,新規お問い合わせを追加
Please fill the information.,情報を記入してください
Register name,レジスタ名
Name in katakana,カタカナで名前
Nickname of this address,このアドレスのニックネーム
Postcode,郵便番号（半角数字）
City (em),市（全角）
Town name • address (em),タウン名•アドレス（EM）
Apartment • Building (em),アパート•ビル（全角）
Save Address,住所を保存
Return previous,戻ります
Account Information,口座情報
Change Password,パスワードを変更する
Current Password,現在のパスワード
New Password,新しいパスワード
Confirm New Password,新しいパスワードを確認
Delivery Type,配信タイプ
Delivery Types Information,配信タイプの情報
Fee per delivery type (JPY),配信タイプ当たりの料金（円）
Code Sync with 3PLWH,3PLWHとコードの同期
Code,コード
Delivery Types,配信タイプ
This delivery type not exists.,この配信の種類が存在しません
Edit Delivery Type,編集配信タイプ
Edit Edit Delivery Type,編集編集配信タイプ
Manage Delivery Types,配信タイプの管理
The Delivery Type has been saved.,配信タイプが保存されました
Something went wrong while saving the shipping lead time.,出荷リードタイムを節約しながら何かが間違っていました
Customer rule Csv file Importing Form,フォームのインポート顧客ルールCSVファイル
Import CSV,CSVのインポート
Submit Comment,コメントを送信
Approve,承認します
Import Data,データのインポート
Accumulated during,中に蓄積
Select,選択します
Month,月
Hours,営業時間
Send email to,にメールを送信
Email template,メールテンプレート
Warning message,警告メッセージ
Select email template,電子メールテンプレートを選択します
Import successfully done: %1 records,インポートが正常に行わ：%1のレコードを
Item was successfully duplicated.,アイテムが正常に複製されました
Data is null,データが空白の場合
Header: CUSTOMER_CODE is not define,ヘッダ：CUSTOMER_CODEが定義されていません
Header: LAST_NAME is not define,ヘッダ：LAST_NAMEが定義されていません
Header: FIRST_NAME is not define,ヘッダ：FIRST_NAMEが定義されていません
Header: LAST_NAME_KANA is not define,ヘッダ：LAST_NAME_KANAが定義されていません
Header: FIRST_NAME_KANA is not define,ヘッダ：FIRST_NAME_KANAが定義されていません
Header: EMAIL1 is not define,ヘッダ：EMAIL1が定義されていません
Header: EMAIL2 is not define,ヘッダ：EMAIL2が定義されていません
Header: EMAIL3 is not define,ヘッダ：EMAIL3が定義されていません
Header: EMAIL4 is not define,ヘッダ：EMAIL4が定義されていません
Header: ADDRESS1 is not define,ヘッダ：ADDRESS1が定義されていません
Header: ADDRESS2 is not define,ヘッダ：ADDRESS2が定義されていません
Header: PHONE_NUMBER is not define,ヘッダ：PHONE_NUMBERが定義されていません
The file does not matched with predefined format!,ファイルが事前定義されたフォーマットと一致していません！
Validate successful %1 rows,成功%1行を検証
warning_message,WARNING_MESSAGE
Placing order is rejected.,配置順序が拒否されます
Accept this order:,この順序を受け入れます：
Something went wrong while save Gift Order.,ギフト注文を保存中に問題が発生しました
Gift Wrapping Information,ギフトラッピングについて
Gift Wrapping Design,ギフトラッピングデザイン
Gift Code,ギフトコード
Gift Name,ギフト名
Sap Code,樹液コード
Image,画像
Import GiftWrapping,インポートギフトラッピング
Upload CSV GiftWrapping file,CSVのギフトラッピングファイルをアップロード
You have not uploaded the image.,画像をアップロードしていません
You saved the gift wrapping.,ギフト包装を保存しました
We can\'t save the gift wrapping right now., 'tは今ギフトラッピングを保存する\ことができます
Import CSV GiftWrapping,インポートCSVギフトラッピング
#ERROR!,#ERROR!
VIEW MORE DETAIL RESULT FOR IMPORT IN THE LOG FILE : var/importGiftWrapping.log,ログファイルにインポートするための図でより詳細結果：VAR / importGiftWrapping.log
Gift Wrapping for Items (Incl. Tax),ギフト包装合計（税込）
Please select,選んでください
Gift Wrapping,ギフト包装
Price Excl. Tax,価格のぞきます税金
Price Incl. Tax,価格含税金
Your Postcode must be in the format 000-0000,あなたの郵便番号は形式000-0000でなければなりません
Admin User Data,管理者ユーザーデータ
Aggregated Information,集約された情報
Admin User ID,管理者ユーザーID
Admin User Name,管理者ユーザー名
IP-Address,IPアドレス
Session hash,セッションハッシュ
X-Forwarded For,以下のためにX-転送
Error Message,エラーメッセージ
Related Changes,関連の変更点
Nestle Coins,ネスレコインの確認
Nestle Shopping Point,ネスレショッピングポイント
WBS,WBS
Account code,アカウントコード
Expiry period in (days),中の有効期間（日）
Total amount of payment (Tax included),注文合計（税込）
Apply Point,使用ポイント
Earned Point,獲得予定ポイント
Order %1 not found,注文%1が見つかりません
Successfully approve pending point for order %1,注文%1の保留中のポイントを正常に承認
